age rate
16 0
18 0
19 0,002120141
20 0,008572413
21 0,024438837
22 0,041763762
23 0,055446444
24 0,052355386
25 0,042538317
26 0,029790444
27 0,022204091
28 0,01752979
29 0,014519727
30 0,012114179
31 0,010200464
32 0,009015631
33 0,007616149
34 0,006906066
35 0,006161124
36 0,005852216
37 0,005738343
38 0,005572332
39 0,005320282
40 0,005424789
41 0,005571312
42 0,005778546
43 0,005425165
44 0,005064859
45 0,005052546
46 0,005188755
47 0,005255112
48 0,005055198
49 0,004803326
50 0,004308853
51 0,004352888
52 0,004388241
53 0,004413411
54 0,003982419
55 0,003594754
56 0,003243695
57 0,003363096
58 0,003335001
59 0,003313577
60 0,002585839
61 0,001928368
62 0,000970958
63 0,000592768
64 0,000492174
65 0,000768571
66 0,000969663
67 0,001057121
68 0,000766838
69 0,000567487
70 0,000212429
71 0,0000800641
72 0
120 0
