Dato;1 år;2 år;3 år;4 år;5 år;6 år;7 år;8 år;9 år;10 år;11 år;12 år;13 år;14 år;15 år;16 år;17 år;18 år;19 år;20 år;21 år;22 år;23 år;24 år;25 år;26 år;27 år;28 år;29 år;30 år;31 år;32 år;33 år;34 år;35 år;36 år;37 år;38 år;39 år;40 år;41 år;42 år;43 år;44 år;45 år;46 år;47 år;48 år;49 år;50 år;51 år;52 år;53 år;54 år;55 år;56 år;57 år;58 år;59 år;60 år;61 år;62 år;63 år;64 år;65 år;66 år;67 år;68 år;69 år;70 år;71 år;72 år;73 år;74 år;75 år;76 år;77 år;78 år;79 år;80 år;81 år;82 år;83 år;84 år;85 år;86 år;87 år;88 år;89 år;90 år;91 år;92 år;93 år;94 år;95 år;96 år;97 år;98 år;99 år;100 år;101 år;102 år;103 år;104 år;105 år;106 år;107 år;108 år;109 år;110 år;111 år;112 år;113 år;114 år;115 år;116 år;117 år;118 år;119 år;120 år
04-01-2016;0,436;0,4599819957;0,5419387369;0,6661424422;0,8037250048;0,9409471312;1,079924186;1,21746649;1,3437552726;1,4596688544;1,5670308304;1,6650018344;1,7522168888;1,8259482152;1,8840338745;1,9268828059;1,9614183969;1,9940493125;2,0293351781;2,0705755095;2,1157904031;2,1632485775;2,2118839518;2,2609133034;2,3097630662;2,3580161392;2,4053728328;2,4516219283;2,4966190564;2,5402704262;2,5825205032;2,6233426284;2,6627318421;2,7006993749;2,7372684074;2,7724707973;2,8063445543;2,838931889;2,8702777093;2,9004284637;2,929431256;2,9573331717;2,9841807707;3,0100197098;3,0348944676;3,0588481494;3,0819223541;3,1041570903;3,1255907305;3,146259994;3,1661999528;3,185444054;3,2040241553;3,2219705692;3,239312115;3,2560761733;3,2722887454;3,2879745124;3,3031568959;3,3178581177;3,3320992591;3,3459003179;3,3592802649;3,3722570976;3,384847892;3,3970688523;3,4089353583;3,4204620104;3,4316626728;3,4425505141;3,4531380456;3,4634371582;3,4734591565;3,4832147918;3,4927142923;3,5019673923;3,5109833599;3,5197710218;3,5283387884;3,5366946762;3,5448463293;3,5528010395;3,5605657657;3,5681471512;3,5755515411;3,5827849978;3,589853316;3,5967620369;3,6035164611;3,6101216615;3,6165824945;3,6229036115;3,629089469;3,6351443386;3,6410723163;3,646877331;3,6525631528;3,6581334009;3,6635915508;3,6689409414;3,6741847812;3,6793261549;3,6843680289;3,689313257;3,6941645855;3,6989246583;3,7035960215;3,7081811278;3,7126823406;3,7171019384;3,7214421179;3,7257049983;3,729892624;3,7340069684;3,7380499366;3,7420233684;3,7459290411;3,7497686721;3,7535439213;3,7572563935
05-01-2016;0,434;0,4379963599;0,5198166179;0,6350353643;0,7701877268;0,9091029551;1,0494741914;1,1879027083;1,3182350546;1,4350860269;1,5423327902;1,6412650461;1,7311584925;1,8080082994;1,8684062218;1,9121461562;1,9465939413;1,9786722059;2,013303154;2,0540421337;2,0989744381;2,1463272472;2,1949884497;2,2441403199;2,2931832645;2,3416804515;2,3893171789;2,43587078;2,4811881475;2,5251688263;2,567752212;2,608907806;2,6486277622;2,6869211654;2,7238096251;2,7593238766;2,7935011548;2,8263831664;2,8580145248;2,8884415454;2,9177113225;2,9458710263;2,9729673713;2,9990462211;3,0241522981;3,0483289771;3,0716181432;3,0940601008;3,1156935224;3,1365554274;3,1566811843;3,1761045313;3,1948576096;3,2129710069;3,2304738074;3,2473936471;3,2637567719;3,279588097;3,2949112676;3,3097487188;3,3241217345;3,3380505058;3,3515541871;3,3646509501;3,3773580362;3,3896918067;3,4016677905;3,4133007294;3,4246046217;3,4355927632;3,446277786;3,4566716955;3,4667859052;3,4766312694;3,4862181145;3,4955562679;3,5046550861;3,51352348;3,5221699401;3,5306025589;3,5388290529;3,546856783;3,5546927737;3,5623437309;3,5698160595;3,5771158788;3,5842490378;3,5912211296;3,5980375045;3,6047032825;3,6112233655;3,6176024482;3,6238450285;3,6299554177;3,6359377497;3,6417959899;3,6475339434;3,6531552628;3,6586634558;3,664061892;3,6693538097;3,6745423219;3,6796304223;3,6846209912;3,6895167999;3,6943205169;3,6990347116;3,7036618591;3,7082043448;3,7126644678;3,7170444452;3,7213464156;3,7255724421;3,7297245162;3,7338045606;3,7378144317;3,7417559234;3,7456307685;3,7494406423;3,7531871644
06-01-2016;0,4309538247;0,4299546439;0,5063688426;0,6199577651;0,7520491543;0,8896892623;1,0266144149;1,1623639038;1,2904954173;1,4072338826;1,5164857488;1,6175279179;1,7083397834;1,7854511271;1,8461336578;1,8905514282;1,9259633627;1,9591314951;1,9948650598;2,0366407667;2,0825017507;2,1306830653;2,1800881717;2,2299118827;2,2795648042;2,328618478;2,376765136;2,4237878984;2,4695385231;2,5139206727;2,55687725;2,5983807611;2,6384259487;2,6770241392;2,714198893;2,7499826506;2,7844141446;2,8175364019;2,8493952044;2,8800379059;2,9095125266;2,9378670646;2,9651489779;2,9914047992;3,0166798552;3,0410180674;3,0644618176;3,0870518623;3,1088272861;3,1298254855;3,1500821746;3,169631409;3,1885056219;3,2067356703;3,2243508871;3,2413791386;3,257846884;3,2737792368;3,2892000264;3,3041318592;3,3185961795;3,3326133277;3,3462025979;3,3593822926;3,3721697761;3,3845815246;3,3966331751;3,4083395713;3,4197148071;3,4307722687;3,4415246732;3,4519841065;3,4621620579;3,4720694538;3,4817166883;3,4911136536;3,500269767;3,5091939976;3,5178948907;3,5263805913;3,5346588654;3,5427371213;3,5506224286;3,558321536;3,5658408894;3,5731866469;3,5803646949;3,587380662;3,5942399323;3,6009476585;3,6075087733;3,6139280011;3,6202098684;3,6263587135;3,6323786966;3,6382738079;3,6440478766;3,6497045782;3,6552474426;3,6606798605;3,6660050906;3,6712262655;3,6763463977;3,6813683855;3,6862950178;3,6911289797;3,6958728567;3,7005291397;3,7051002289;3,7095884378;3,7139959975;3,71832506;3,7225777013;3,7267559255;3,7308616672;3,7348967947;3,7388631128;3,7427623656;3,7465962386;3,7503663616
07-01-2016;0,4204530333;0,4274467233;0,5043710333;0,6214844086;0,7576392403;0,8980742239;1,0389612786;1,1768777306;1,3066873812;1,42459529;1,5340198281;1,6351123777;1,7265181617;1,8045581438;1,8662116101;1,9114548418;1,9474822628;1,9810355869;2,0169183049;2,0586085211;2,1042383326;2,1520948431;2,2011110045;2,2505033057;2,2996983365;2,3482794377;2,3959475398;2,4424921492;2,487769676;2,5316871293;2,5741897727;2,6152517273;2,6548687866;2,6930529015;2,7298279358;2,7652263934;2,7992868914;2,8320522104;2,8635677921;2,893880584;2,9230381556;2,951088027;2,9780771634;3,0040515992;3,0290561651;3,0531342945;3,0763278921;3,0986772518;3,1202210118;3,1409961397;3,161037939;3,1803800731;3,1990546015;3,217092026;3,2345213421;3,2513700961;3,2676644439;3,2834292117;3,2986879572;3,31346303;3,3277756308;3,3416458704;3,3550928254;3,3681345928;3,3807883425;3,3930703668;3,4049961289;3,4165803078;3,4278368419;3,4387789697;3,4494192689;3,4597696928;3,4698416055;3,4796458142;3,4891926005;3,4984917491;3,5075525758;3,516383953;3,5249943342;3,5333917769;3,5415839642;3,5495782252;3,5573815539;3,5650006276;3,5724418233;3,5797112342;3,5868146842;3,5937577424;3,6005457361;3,6071837635;3,6136767057;3,6200292372;3,6262458369;3,6323307978;3,6382882362;3,6441221008;3,6498361805;3,6554341125;3,6609193898;3,6662953677;3,6715652708;3,6767321991;3,6817991337;3,6867689427;3,6916443861;3,6964281209;3,7011227057;3,7057306055;3,7102541956;3,7146957655;3,719057523;3,7233415978;3,7275500444;3,731684846;3,7357479171;3,7397411068;3,743666201;3,7475249257;3,7513189491;3,7550498839
08-01-2016;0,417;0,4249925994;0,5009141926;0,6180188137;0,7521473586;0,8900239171;1,0272924109;1,1656676102;1,2938549917;1,4095872016;1,5167882882;1,616187062;1,7067514786;1,7841864408;1,8448698588;1,8885110153;1,9226352535;1,9543252955;1,988613411;2,029130615;2,0740450639;2,1215524523;2,1704922303;2,2200106991;2,2694814102;2,3184474108;2,3665788946;2,4136418557;2,4594746919;2,5039706115;2,5470643202;2,5887218888;2,628933006;2,6677050325;2,7050584223;2,7410231907;2,7756361857;2,8089389798;2,8409762433;2,8717944909;2,9014411208;2,9299636823;2,9574093217;2,9838243687;3,0092540327;3,0337421853;3,0573312109;3,0800619088;3,1019734377;3,1231032911;3,143487297;3,1631596371;3,1821528787;3,2004980177;3,2182245287;3,2353604199;3,2519322914;3,2679653957;3,2834836978;3,2985099365;3,3130656841;3,3271714045;3,3408465109;3,35410942;3,3669776055;3,3794676485;3,3915952861;3,4033754574;3,4148223475;3,4259494294;3,4367695029;3,4472947326;3,4575366829;3,4675063512;3,4772141999;3,4866701853;3,4958837865;3,504864031;3,5136195197;3,5221584506;3,5304886404;3,5386175454;3,5465522809;3,5542996395;3,5618661085;3,569257886;3,5764808963;3,5835408041;3,5904430282;3,5971927543;3,6037949467;3,61025436;3,6165755496;3,6227628817;3,6288205426;3,6347525482;3,6405627519;3,6462548525;3,6518324024;3,6572988136;3,6626573656;3,6679112107;3,6730633804;3,6781167913;3,68307425;3,6879384584;3,6927120183;3,6973974362;3,7019971275;3,7065134202;3,7109485594;3,7153047104;3,7195839627;3,7237883325;3,7279197668;3,7319801454;3,7359712847;3,7398949394;3,7437528058;3,7475465238
11-01-2016;0,416;0,4229934546;0,499412828;0,615713343;0,7521527076;0,8920616726;1,0313897546;1,1703062685;1,2995645207;1,4158532478;1,5213245163;1,6190419759;1,7097125384;1,788033272;1,849210518;1,8923505095;1,9252998484;1,9555380273;1,9883744148;2,0276325594;2,0715689535;2,1183384495;2,1667259257;2,2158361886;2,2650109722;2,3137687467;2,3617606002;2,4087375919;2,4545263898;2,499010953;2,5421186701;2,5838098081;2,6240694438;2,6629012684;2,7003228148;2,7363617733;2,7710531436;2,8044370317;2,8365569473;2,8674584912;2,8971883458;2,9257935044;2,9533206855;2,9798158945;3,0053240999;3,0298889991;3,0535528556;3,0763563907;3,098338719;3,1195373163;3,1399880145;3,1597250151;3,1787809178;3,1971867606;3,2149720669;3,2321648986;3,2487919132;3,2648784222;3,2804484512;3,2955247995;3,3101290994;3,3242818745;3,3380025959;3,3513097371;3,3642208267;3,3767524989;3,3889205418;3,400739944;3,4122249378;3,4233890413;3,4342450978;3,4448053131;3,4550812913;3,4650840675;3,4748241399;3,4843114994;3,4935556576;3,5025656732;3,511350177;3,519917395;3,5282751712;3,5364309873;3,5443919833;3,5521649752;3,5597564726;3,5671726948;3,5744195863;3,5815028315;3,5884278674;3,5951998975;3,6018239031;3,6083046548;3,6146467236;3,6208544903;3,6269321556;3,6328837488;3,6387131363;3,6444240295;3,6500199926;3,6555044492;3,6608806895;3,6661518767;3,6713210523;3,6763911427;3,6813649638;3,6862452265;3,6910345413;3,6957354231;3,7003502952;3,7048814935;3,7093312704;3,7137017986;3,7179951743;3,7222134205;3,7263584906;3,7304322708;3,7344365832;3,7383731886;3,7422437887;3,7460500288
12-01-2016;0,425;0,4279971199;0,4983131293;0,615990777;0,7500876223;0,8853931212;1,0256764713;1,159359907;1,2853882227;1,3989295756;1,503681915;1,5991969042;1,6837996265;1,755001799;1,8109088763;1,8521032353;1,8855668473;1,9177120205;1,9530809019;1,9949484396;2,0411877017;2,089940192;2,1400497293;2,1906672574;2,2411709974;2,2911085451;2,3401544388;2,3880787682;2,4347237586;2,4799861748;2,5238040134;2,5661463825;2,6070057692;2,6463921095;2,6843282265;2,7208463138;2,7559852232;2,7897883707;2,8223021229;2,853574557;2,8836545113;2,9125908628;2,9404319835;2,9672253349;2,9930171731;3,0178523381;3,041774111;3,0648241223;3,0870423021;3,1084668598;3,1291342893;3,1490793914;3,1683353098;3,186933578;3,2049041715;3,2222755666;3,2390748005;3,2553275345;3,2710581164;3,2862896435;3,3010440241;3,3153420377;3,3292033934;3,3426467865;3,3556899524;3,3683497187;3,3806420547;3,3925821183;3,4041843013;3,4154622715;3,4264290131;3,4370968647;3,4474775556;3,4575822393;3,4674215259;3,4770055121;3,4863438097;3,4954455726;3,5043195217;3,5129739689;3,5214168392;3,5296556922;3,5376977413;3,5455498728;3,5532186631;3,5607103955;3,5680310754;3,5751864451;3,5821819974;3,5890229888;3,5957144513;3,6022612043;3,6086678651;3,6149388592;3,6210784299;3,6270906477;3,632979418;3,63874849;3,644401464;3,6499417985;3,655372817;3,6606977148;3,6659195643;3,6710413214;3,6760658308;3,6809958308;3,6858339584;3,690582754;3,6952446654;3,6998220523;3,70431719;3,708732273;3,7130694189;3,7173306714;3,7215180034;3,7256333204;3,7296784629;3,7336552097;3,7375652797;3,741410335
13-01-2016;0,427;0,4359917193;0,4979206611;0,6284205856;0,7405053471;0,8757551069;1,0108735554;1,1439625506;1,269392889;1,3828640661;1,485745326;1,579985021;1,6658459659;1,7393877074;1,7971194985;1,8387975439;1,8718009786;1,9030461276;1,9374292374;1,978473762;2,0241715809;2,0726220548;2,1226085698;2,1732367122;2,2238504188;2,2739712218;2,3232537555;2,3714528589;2,4183990483;2,4639800917;2,5081270771;2,5508038196;2,5919987681;2,6317187976;2,6699844332;2,7068261673;2,7422816171;2,7763933289;2,8092070851;2,8407706006;2,8711325238;2,9003416749;2,9284464708;2,9554944951;2,9815321835;3,0066045975;3,0307552696;3,0540261018;3,076457308;3,0980873883;3,1189531288;3,1390896213;3,1585302962;3,1773069671;3,1954498823;3,2129877815;3,2299479566;3,2463563129;3,2622374326;3,277614637;3,292510048;3,3069446493;3,3209383441;3,3345100125;3,3476775656;3,360457998;3,3728674374;3,3849211925;3,396633798;3,4080190574;3,4190900838;3,4298593382;3,4403386661;3,4505393312;3,4604720485;3,4701470142;3,4795739349;3,4887620543;3,4977201791;3,5064567023;3,5149796268;3,5232965857;3,5314148629;3,5393414116;3,5470828723;3,5546455889;3,5620356252;3,5692587789;3,576320596;3,5832263835;3,589981222;3,5965899772;3,6030573107;3,6093876906;3,6155854008;3,6216545506;3,627599083;3,633422783;3,6391292851;3,6447220809;3,6502045257;3,655579845;3,6608511406;3,6660213965;3,6710934844;3,6760701685;3,6809541111;3,6857478766;3,6904539359;3,6950746713;3,6996123794;3,7040692758;3,708447498;3,7127491089;3,7169761004;3,7211303958;3,7252138533;3,7292282681;3,7331753756;3,7370568536
14-01-2016;0,407;0,4129943896;0,4859144455;0,5899787219;0,7329049238;0,8677140452;1,0082108322;1,1455216474;1,2747167201;1,3904173196;1,4944691963;1,5902430222;1,6785514541;1,7540069333;1,8117334363;1,8509117827;1,8798673118;1,9064874562;1,9363415233;1,9734160248;2,01602521;2,0621532857;2,1104079807;2,1597616982;2,2094565209;2,2589354985;2,3077923936;2,3557345665;2,4025553212;2,4481131419;2,4923159956;2,5351093945;2,5764672709;2,6163849728;2,6548738674;2,6919571743;2,7276667411;2,7620405472;2,7951207714;2,8269522984;2,8575815676;2,8870556897;2,9154217731;2,9427264157;2,9690153261;2,9943330458;3,018722753;3,0422261271;3,0648832636;3,0867326265;3,10781103;3,1281536435;3,147794013;3,1667640959;3,1850943048;3,2028135584;3,219949337;3,2365277402;3,2525735465;3,268110274;3,2831602398;3,2977446189;3,3118835021;3,3255959514;3,3389000545;3,3518129762;3,3643510083;3,376529617;3,388363488;3,3998665693;3,4110521123;3,4219327102;3,4325203344;3,4428263689;3,4528616433;3,4626364631;3,4721606391;3,4814435141;3,4904939892;3,4993205479;3,5079312784;3,516333896;3,5245357623;3,532543905;3,5403650353;3,5480055649;3,5554716221;3,5627690662;3,5699035019;3,5768802927;3,5837045727;3,590381259;3,5969150624;3,603310498;3,6095718948;3,6157034051;3,6217090133;3,6275925438;3,6333576693;3,6390079178;3,6445466795;3,6499772135;3,6553026539;3,6605260156;3,6656502001;3,6706780005;3,6756121064;3,6804551087;3,6852095042;3,6898776994;3,6944620149;3,6989646891;3,7033878814;3,7077336762;3,7120040857;3,7162010532;3,7203264558;3,7243821073;3,728369761;3,732291112
15-01-2016;0,403;0,4049980499;0,4672164094;0,5767508215;0,7082674981;0,8429895795;0,9777694515;1,1113338145;1,236722865;1,3512080085;1,4559792625;1,5523532552;1,6401975129;1,7154711788;1,7746524125;1,8174889737;1,8514014106;1,8833519635;1,9182747318;1,9597238013;2,005836176;2,0547312717;2,1051781861;2,1562723737;2,2073506143;2,2579294288;2,3076599977;2,3562948419;2,4036629887;2,449651324;2,4941904967;2,5372442044;2,5788010102;2,6188680683;2,6574662976;2,6946266622;2,7303872998;2,7647913067;2,7978850281;2,8297167437;2,8603356606;2,889791145;2,9181321438;2,9454067511;2,9716618922;2,9969430962;3,0212943407;3,0447579504;3,0673745398;3,0891829878;3,110220439;3,130522323;3,1501223893;3,169052752;3,1873439429;3,2050249686;3,2221233724;3,2386652967;3,2546755465;3,2701776536;3,285193938;3,29974557;3,3138526291;3,3275341612;3,3408082342;3,3536919905;3,3662016977;3,3783527963;3,3901599456;3,4016370673;3,4127973859;3,4236534682;3,4342172596;3,4445001188;3,4545128506;3,4642657366;3,4737685643;3,4830306543;3,4920608863;3,500867723;3,5094592332;3,5178431131;3,5260267063;3,5340170232;3,5418207587;3,5494443087;3,5568937863;3,5641750368;3,5712936511;3,5782549796;3,585064144;3,5917260496;3,5982453958;3,6046266869;3,6108742415;3,6169922021;3,6229845435;3,6288550814;3,6346074795;3,6402452578;3,6457717983;3,6511903527;3,6565040478;3,6617158917;3,6668287789;3,6718454962;3,6767687271;3,6816010565;3,6863449755;3,6910028852;3,695577101;3,700069856;3,704483305;3,7088195274;3,7130805312;3,717268255;3,7213845719;3,7254312917;3,7294101637;3,733322879
