Dato;Alpha;3 mdr;6 mdr;1 år;2 år;3 år;4 år;5 år;6 år;7 år;8 år;9 år;10 år;11 år;12 år;13 år;14 år;15 år;16 år;17 år;18 år;19 år;20 år;21 år;22 år;23 år;24 år;25 år;26 år;27 år;28 år;29 år;30 år;31 år;32 år;33 år;34 år;35 år;36 år;37 år;38 år;39 år;40 år;41 år;42 år;43 år;44 år;45 år;46 år;47 år;48 år;49 år;50 år;51 år;52 år;53 år;54 år;55 år;56 år;57 år;58 år;59 år;60 år;61 år;62 år;63 år;64 år;65 år;66 år;67 år;68 år;69 år;70 år;71 år;72 år;73 år;74 år;75 år;76 år;77 år;78 år;79 år;80 år;81 år;82 år;83 år;84 år;85 år;86 år;87 år;88 år;89 år;90 år;91 år;92 år;93 år;94 år;95 år;96 år;97 år;98 år;99 år;100 år;101 år;102 år;103 år;104 år;105 år;106 år;107 år;108 år;109 år;110 år;111 år;112 år;113 år;114 år;115 år;116 år;117 år;118 år;119 år;120 år;121 år;122 år;123 år;124 år;125 år;126 år;127 år;128 år;129 år;130 år;131 år;132 år;133 år;134 år;135 år
12-06-2012;0,424;0,4640;0,4640;0,4640;0,6933;0,9278;1,1623;1,3969;1,6314;1,8660;1,9750;2,0720;2,2060;2,2566;2,3072;2,3578;2,4084;2,4590;2,4510;2,4430;2,4350;2,4270;2,4190;2,4373;2,4762;2,5253;2,5787;2,6332;2,6868;2,7385;2,7879;2,8347;2,8790;2,9207;2,9600;2,9971;3,0322;3,0652;3,0965;3,1262;3,1543;3,1809;3,2063;3,2304;3,2534;3,2753;3,2962;3,3162;3,3353;3,3536;3,3712;3,3881;3,4042;3,4198;3,4347;3,4491;3,4630;3,4763;3,4892;3,5016;3,5136;3,5252;3,5364;3,5473;3,5578;3,5679;3,5778;3,5873;3,5966;3,6056;3,6143;3,6227;3,6310;3,6390;3,6467;3,6543;3,6617;3,6688;3,6758;3,6826;3,6892;3,6956;3,7019;3,7081;3,7141;3,7199;3,7256;3,7312;3,7366;3,7419;3,7471;3,7522;3,7572;3,7620;3,7668;3,7714;3,7760;3,7804;3,7848;3,7890;3,7932;3,7973;3,8014;3,8053;3,8092;3,8129;3,8167;3,8203;3,8239;3,8274;3,8308;3,8342;3,8375;3,8408;3,8440;3,8471;3,8502;3,8533;3,8562;3,8592;3,8621;3,8649;3,8677;3,8704;3,8731;3,8758;3,8784;3,8810;3,8835;3,8860;3,8884;3,8908;3,8932;3,8956;3,8979;3,9001;3,9024;3,9046
13-06-2012;0,405;0,5575;0,5575;0,5575;0,7245;0,9589;1,1932;1,4275;1,6618;1,8962;2,0092;2,1052;2,2162;2,2684;2,3206;2,3728;2,4250;2,4772;2,4822;2,4872;2,4922;2,4972;2,5022;2,5272;2,5679;2,6162;2,6677;2,7195;2,7703;2,8192;2,8659;2,9101;2,9518;2,9912;3,0283;3,0634;3,0965;3,1277;3,1573;3,1853;3,2118;3,2370;3,2610;3,2838;3,3055;3,3262;3,3460;3,3649;3,3830;3,4003;3,4169;3,4328;3,4481;3,4628;3,4769;3,4905;3,5036;3,5162;3,5284;3,5401;3,5515;3,5624;3,5730;3,5833;3,5932;3,6028;3,6121;3,6211;3,6299;3,6384;3,6466;3,6546;3,6624;3,6699;3,6773;3,6844;3,6914;3,6981;3,7047;3,7111;3,7174;3,7235;3,7294;3,7352;3,7409;3,7464;3,7518;3,7570;3,7622;3,7672;3,7721;3,7769;3,7816;3,7862;3,7907;3,7951;3,7994;3,8036;3,8077;3,8117;3,8157;3,8196;3,8234;3,8271;3,8307;3,8343;3,8378;3,8413;3,8446;3,8480;3,8512;3,8544;3,8575;3,8606;3,8637;3,8666;3,8695;3,8724;3,8752;3,8780;3,8807;3,8834;3,8860;3,8886;3,8912;3,8937;3,8962;3,8986;3,9010;3,9033;3,9056;3,9079;3,9102;3,9124;3,9145;3,9167;3,9188;3,9209
14-06-2012;0,399;0,477578398;0,477578398;0,477578398;0,722704894;0,966223921;1,209742949;1,453261977;1,696781004;1,940300032;2,058300032;2,163300032;2,247300032;2,306100032;2,364900032;2,423700032;2,482500032;2,541300032;2,547500032;2,553700032;2,559900032;2,566100032;2,572300032;2,597007709;2,636171912;2,682507769;2,731730375;2,781344571;2,829932452;2,876726341;2,921349799;2,963659417;3,003647874;3,041384563;3,076979409;3,110561027;3,14226377;3,172220262;3,200557296;3,227393794;3,252839986;3,276997313;3,299958729;3,321809213;3,342626377;3,362481096;3,381438126;3,399556683;3,416890982;3,433490725;3,449401543;3,46466539;3,479320902;3,49340371;3,506946721;3,519980377;3,532532874;3,54463037;3,556297159;3,567555839;3,578427453;3,588931624;3,59908667;3,608909712;3,618416769;3,627622847;3,636542014;3,645187479;3,653571649;3,661706193;3,669602097;3,677269709;3,68471879;3,69195855;3,698997691;3,705844437;3,712506569;3,718991456;3,725306077;3,731457052;3,73745066;3,743292865;3,748989331;3,754545446;3,759966332;3,765256867;3,770421697;3,77546525;3,780391748;3,785205219;3,789909508;3,794508289;3,799005072;3,803403213;3,807705923;3,811916274;3,816037208;3,820071544;3,824021984;3,827891117;3,831681427;3,8353953;3,839035025;3,842602799;3,846100736;3,849530867;3,852895143;3,856195444;3,859433577;3,862611282;3,865730236;3,868792052;3,871798286;3,874750439;3,877649956;3,880498234;3,883296617;3,886046407;3,888748857;3,89140518;3,894016547;3,896584089;3,899108901;3,90159204;3,90403453;3,90643736;3,90880149;3,911127846;3,913417326;3,915670801;3,917889113;3,920073079;3,922223491;3,924341115;3,926426696;3,928480956;3,930504595;3,932498292
15-06-2012;0,408;0,471286653;0,471286653;0,471286653;0,663524496;0,913119848;1,1627152;1,412310552;1,661905905;1,911501257;2,029501257;2,136501257;2,232501257;2,286901257;2,341301257;2,395701257;2,450101257;2,504501257;2,506301257;2,508101257;2,509901257;2,511701257;2,513501257;2,536381997;2,575699643;2,623205526;2,674086548;2,725558724;2,776048577;2,824707362;2,871119097;2,915123698;2,956709473;2,995947806;3,032953653;3,067861889;3,100813392;3,131947095;3,161395664;3,18928338;3,215725315;3,240827263;3,264686089;3,287390288;3,309020639;3,329650875;3,349348341;3,368174604;3,386186018;3,40343424;3,419966687;3,435826956;3,451055188;3,465688402;3,479760789;3,493303972;3,506347248;3,518917787;3,531040832;3,542739856;3,554036723;3,564951818;3,575504172;3,58571157;3,595590655;3,605157017;3,614425273;3,623409143;3,632121518;3,640574523;3,648779569;3,65674741;3,664488184;3,672011463;3,679326284;3,686441195;3,69336428;3,700103193;3,706665187;3,713057139;3,719285573;3,725356686;3,731276363;3,7370502;3,742683522;3,748181396;3,75354865;3,758789883;3,763909482;3,768911634;3,773800333;3,778579396;3,783252471;3,787823045;3,792294453;3,796669888;3,800952407;3,805144939;3,809250291;3,813271154;3,817210109;3,821069635;3,824852109;3,828559816;3,832194952;3,835759626;3,839255868;3,842685629;3,846050788;3,849353152;3,852594464;3,8557764;3,858900578;3,861968556;3,864981837;3,86794187;3,870850056;3,873707743;3,876516236;3,879276796;3,881990637;3,884658937;3,887282832;3,889863421;3,892401769;3,894898902;3,897355818;3,899773481;3,902152822;3,904494747;3,90680013;3,909069822;3,911304643;3,913505392;3,915672842;3,917807743;3,919910822;3,921982786
18-06-2012;0,416;0,448881539;0,448881539;0,448881539;0,611856635;0,85468861;1,097520586;1,340352562;1,583184538;1,826016513;1,948016513;2,058016513;2,150016513;2,205616513;2,261216513;2,316816513;2,372416513;2,428016513;2,427416513;2,426816513;2,426216513;2,425616513;2,425016513;2,447811431;2,488762035;2,538717324;2,592381901;2,646716296;2,700015544;2,751367346;2,800329082;2,846733683;2,890572534;2,931924865;2,970915383;3,007689115;3,04239674;3,0751863;3,106198773;3,135565936;3,163409601;3,189841608;3,214964254;3,238870923;3,2616468;3,283369608;3,304110307;3,323933751;3,342899295;3,361061332;3,378469792;3,395170573;3,411205935;3,42661485;3,441433312;3,455694611;3,469429585;3,482666839;3,495432943;3,50775261;3,519648855;3,531143138;3,542255492;3,553004641;3,563408107;3,573482301;3,58324261;3,59270348;3,601878483;3,610780381;3,619421191;3,627812231;3,635964179;3,643887108;3,651590537;3,659083462;3,666374396;3,673471397;3,680382102;3,687113751;3,693673214;3,700067014;3,706301348;3,712382109;3,718314903;3,724105065;3,729757678;3,735277585;3,740669407;3,745937548;3,751086218;3,756119434;3,761041038;3,765854699;3,770563933;3,775172099;3,779682417;3,784097971;3,788421716;3,792656487;3,796805001;3,800869868;3,804853592;3,808758578;3,812587139;3,816341496;3,820023786;3,823636063;3,827180307;3,830658421;3,834072238;3,837423526;3,840713987;3,843945261;3,847118932;3,850236526;3,853299517;3,856309326;3,859267328;3,862174847;3,865033165;3,867843521;3,870607112;3,873325096;3,875998592;3,878628683;3,881216419;3,883762813;3,88626885;3,888735481;3,891163628;3,893554184;3,895908017;3,898225965;3,900508843;3,902757442;3,904972526;3,907154841
19-06-2012;0,411;0,482715503;0,482715503;0,482715503;0,664188821;0,913236271;1,162283721;1,411331171;1,660378621;1,909426071;2,034426071;2,143426071;2,242426071;2,300026071;2,357626071;2,415226071;2,472826071;2,530426071;2,529226071;2,528026071;2,526826071;2,525626071;2,524426071;2,545287922;2,583378723;2,630104701;2,680461137;2,7315565;2,781756594;2,830178299;2,876386132;2,920208914;2,961628604;3,000712893;3,037574529;3,072347;3,105170256;3,13618255;3,165516013;3,193294473;3,219632602;3,244635831;3,268400687;3,291015357;3,312560331;3,333109074;3,352728682;3,371480493;3,389420648;3,406600606;3,423067604;3,438865068;3,454032986;3,468608231;3,48262486;3,496114375;3,509105955;3,521626666;3,53370165;3,545354289;3,55660636;3,567478167;3,577988668;3,588155577;3,597995472;3,60752388;3,616755362;3,625703583;3,634381384;3,64280084;3,65097332;3,658909533;3,666619579;3,674112989;3,681398769;3,68848543;3,695381024;3,702093176;3,70862911;3,714995676;3,721199372;3,72724637;3,733142532;3,738893433;3,744504375;3,749980406;3,755326334;3,760546742;3,765645999;3,770628273;3,775497545;3,780257615;3,784912118;3,789464526;3,793918161;3,798276205;3,802541701;3,806717567;3,810806599;3,814811477;3,818734772;3,822578953;3,826346388;3,830039354;3,833660035;3,837210535;3,840692874;3,844108996;3,847460772;3,850750004;3,853978425;3,857147706;3,860259459;3,863315234;3,866316529;3,869264789;3,872161406;3,875007727;3,877805048;3,880554626;3,883257671;3,885915356;3,888528812;3,891099135;3,893627383;3,896114582;3,898561722;3,900969765;3,903339639;3,905672245;3,907968456;3,910229116;3,912455044;3,914647035;3,91680586;3,918932265;3,921026975;3,923090694
20-06-2012;0,407;0,507642486;0,507642486;0,507642486;0,705732541;0,954203081;1,20267362;1,451144159;1,699614699;1,948085238;2,074085238;2,184085238;2,283085238;2,342285238;2,401485238;2,460685238;2,519885238;2,579085238;2,578885238;2,578685238;2,578485238;2,578285238;2,578085238;2,598742522;2,635735251;2,680940929;2,729608615;2,778982158;2,827497479;2,874305505;2,918985021;2,961368474;3,001435932;3,039250541;3,074919417;3,108570166;3,140337031;3,170352928;3,198745104;3,225632954;3,251127153;3,275329531;3,298333378;3,320223954;3,341079107;3,360969912;3,379961292;3,398112607;3,415478196;3,432107869;3,448047352;3,463338685;3,478020577;3,492128728;3,505696109;3,518753217;3,5313283;3,543447563;3,555135346;3,566414286;3,577305466;3,587828543;3,598001868;3,607842593;3,617366765;3,626589418;3,635524646;3,644185679;3,652584947;3,660734142;3,668644268;3,676325692;3,683788192;3,691040995;3,698092818;3,7049519;3,711626037;3,71812261;3,724448611;3,730610672;3,736615083;3,742467818;3,748174553;3,753740683;3,759171341;3,764471415;3,769645557;3,774698204;3,779633585;3,784455735;3,789168508;3,793775582;3,798280475;3,802686548;3,806997018;3,811214963;3,815343331;3,819384944;3,82334251;3,827218623;3,831015771;3,834736344;3,838382636;3,841956847;3,845461096;3,848897415;3,852267762;3,855574018;3,858817995;3,862001434;3,865126016;3,868193358;3,871205018;3,874162499;3,877067249;3,879920667;3,882724102;3,885478855;3,888186183;3,890847301;3,893463381;3,896035559;3,898564928;3,90105255;3,903499449;3,905906618;3,908275016;3,910605572;3,912899186;3,91515673;3,917379047;3,919566956;3,92172125;3,923842698;3,925932045;3,927990015;3,930017308;3,932014606
21-06-2012;0,411;0,433287953;0,433287953;0,433287953;0,740989152;0,969060681;1,19713221;1,425203739;1,653275268;1,881346796;2,007346796;2,117346796;2,216346796;2,274146796;2,331946796;2,389746796;2,447546796;2,505346796;2,505146796;2,504946796;2,504746796;2,504546796;2,504346796;2,526138462;2,565078947;2,612583834;2,66365653;2,715412527;2,766223707;2,815212212;2,861947128;2,906261261;2,948140049;2,987654234;3,024919249;3,060070952;3,09325139;3,124600681;3,154252616;3,182332509;3,208956361;3,234230798;3,258253428;3,28111341;3,302892115;3,32366381;3,343496321;3,362451648;3,38058654;3,397953013;3,414598813;3,430567836;3,445900499;3,460634075;3,474802989;3,48843908;3,501571844;3,51422864;3,526434879;3,538214197;3,549588606;3,560578631;3,571203431;3,581480915;3,591427839;3,601059897;3,610391809;3,619437386;3,62820961;3,636720686;3,644982105;3,653004692;3,660798658;3,668373636;3,675738729;3,682902541;3,689873212;3,696658448;3,703265551;3,709701447;3,715972703;3,722085559;3,72804594;3,733859481;3,739531542;3,745067226;3,750471394;3,755748675;3,760903489;3,765940048;3,770862377;3,775674317;3,780379541;3,784981559;3,789483731;3,793889271;3,798201258;3,802422639;3,806556241;3,810604774;3,814570837;3,818456924;3,822265431;3,825998657;3,829658814;3,833248024;3,836768332;3,840221702;3,843610026;3,846935124;3,85019875;3,853402592;3,856548279;3,85963738;3,862671407;3,865651822;3,868580031;3,871457396;3,874285228;3,877064797;3,879797327;3,882484002;3,885125966;3,887724328;3,890280157;3,892794489;3,895268326;3,89770264;3,900098369;3,902456425;3,904777688;3,907063013;3,909313228;3,911529137;3,913711517;3,915861125;3,917978692;3,92006493
22-06-2012;0,411;0,5151;0,5151;0,5151;0,721984602;0,956690652;1,191396703;1,426102754;1,660808804;1,895514855;2,023514855;2,133514855;2,236514855;2,293714855;2,350914855;2,408114855;2,465314855;2,522514855;2,521914855;2,521314855;2,520714855;2,520114855;2,519514855;2,540840591;2,579275332;2,626267715;2,676838809;2,728113165;2,778466844;2,827023405;2,873351807;2,917283898;2,958803746;2,997980557;3,034928193;3,069780995;3,102679575;3,13376272;3,163163;3,191004612;3,217402543;3,242462497;3,266281246;3,288947186;3,310541;3,331136324;3,35080041;3,369594733;3,387575566;3,404794483;3,421298828;3,437132126;3,452334454;3,466942769;3,480991205;3,494511335;3,507532403;3,520081537;3,532183935;3,543863033;3,555140655;3,566037154;3,576571527;3,586761531;3,596623781;3,606173837;3,615426295;3,62439485;3,633092372;3,641530964;3,64972202;3,657676273;3,665403846;3,672914293;3,680216639;3,687319413;3,694230688;3,700958104;3,707508903;3,713889948;3,720107755;3,726168508;3,732078083;3,737842066;3,743465774;3,748954264;3,754312356;3,759544643;3,764655503;3,769649115;3,774529468;3,779300372;3,783965468;3,788528237;3,79299201;3,797359974;3,80163518;3,805820552;3,809918893;3,813932889;3,817865116;3,82171805;3,825494063;3,829195437;3,832824363;3,836382948;3,839873217;3,843297119;3,846656528;3,849953251;3,853189024;3,856365524;3,859484364;3,8625471;3,865555231;3,868510207;3,871413422;3,874266226;3,87706992;3,879825762;3,882534965;3,885198705;3,887818115;3,890394294;3,892928303;3,895421168;3,897873885;3,900287414;3,902662688;3,90500061;3,907302053;3,909567864;3,911798865;3,913995851;3,916159596;3,918290847;3,920390331;3,922458752
25-06-2012;0,412;0,501694245;0,501694245;0,5017;0,703337342;0,93604253;1,168747718;1,401452906;1,634158094;1,866863282;1,996863282;2,107863282;2,194863282;2,256463282;2,318063282;2,379663282;2,441263282;2,502863282;2,502463282;2,502063282;2,501663282;2,501263282;2,500863282;2,522607583;2,561611883;2,60922926;2,660431563;2,712318823;2,763255835;2,812361948;2,859205583;2,903619872;2,945590979;2,985190482;3,022534621;3,057759982;3,091009241;3,122423051;3,152135659;3,180272761;3,206950686;3,232276341;3,256347574;3,279253756;3,301076443;3,321890067;3,341762597;3,360756168;3,378927647;3,396329155;3,413008538;3,429009781;3,444373383;3,459136691;3,473334201;3,486997817;3,500157092;3,512839441;3,525070326;3,536873431;3,548270813;3,559283035;3,569929298;3,580227545;3,590194565;3,599846087;3,609196856;3,618260715;3,627050669;3,635578949;3,643857068;3,651895874;3,659705598;3,667295893;3,674675879;3,681854178;3,688838946;3,695637905;3,702258373;3,708707287;3,71499123;3,721116452;3,727088891;3,732914195;3,738597733;3,744144619;3,749559722;3,754847683;3,760012929;3,765059682;3,769991973;3,774813653;3,779528401;3,784139736;3,788651022;3,793065481;3,797386197;3,801616125;3,805758097;3,809814827;3,813788921;3,817682877;3,821499096;3,825239883;3,828907451;3,832503931;3,836031368;3,839491733;3,842886919;3,846218753;3,849488989;3,852699322;3,855851381;3,858946739;3,861986913;3,864973366;3,867907508;3,870790702;3,873624264;3,876409464;3,87914753;3,881839649;3,884486967;3,887090594;3,889651601;3,892171029;3,894649879;3,897089126;3,899489711;3,901852545;3,904178512;3,906468469;3,908723245;3,910943645;3,913130449;3,915284413;3,917406273;3,919496739
